ticker,date,open_price,close_price,high_price,low_price,volume_traded,market_cap
SCOM,2018-01-01,96.1,95.67,97.83,95.22,386965,37019562
SCOM,2018-01-02,97.8,98.76,99.87,97.16,816991,80685841
SCOM,2018-01-03,96.71,97.69,97.84,95.6,285987,27938717
SCOM,2018-01-04,94.9,94.23,95.33,93.64,980240,92367719
SCOM,2018-01-05,97.11,97.27,99.08,97.01,875291,85143398
SCOM,2018-01-08,98.43,97.55,99.22,97.33,915588,89312008
SCOM,2018-01-09,95.71,95.08,96.63,94.37,697281,66298381
SCOM,2018-01-10,95.66,95.38,96.18,94.47,393934,37573413
SCOM,2018-01-11,96.74,96.36,98.37,94.99,92844,8946352
SCOM,2018-01-12,95.13,94.28,97.01,93.45,473556,44647177
SCOM,2018-01-15,97.05,96.89,98.91,95.15,236156,22880133
SCOM,2018-01-16,95.25,95.08,96.81,94.12,777214,73895468
SCOM,2018-01-17,95.2,95.39,96.15,93.26,344618,32871545
SCOM,2018-01-18,96.87,96.0,96.95,95.73,10404,998772
SCOM,2018-01-19,94.82,95.55,97.18,92.82,245365,23444742
SCOM,2018-01-22,98.25,98.42,99.87,96.73,718690,70732385
SCOM,2018-01-23,95.58,95.49,95.84,93.58,944604,90196467
SCOM,2018-01-24,95.42,96.18,97.69,95.33,515950,49624525
SCOM,2018-01-25,95.05,95.39,96.43,93.51,628362,59941277
SCOM,2018-01-26,95.83,96.46,98.4,95.65,309770,29880231
SCOM,2018-01-29,96.21,95.48,96.27,93.97,836196,79837896
SCOM,2018-01-30,97.15,97.76,99.57,95.92,16949,1656986
SCOM,2018-01-31,97.03,97.3,98.41,96.85,347889,33850006
SCOM,2018-02-01,95.99,96.02,97.58,95.2,80390,7718768
SCOM,2018-02-02,96.69,97.09,98.68,95.77,226464,21986307
SCOM,2018-02-05,96.56,96.08,97.48,94.12,810820,77903977
SCOM,2018-02-06,95.99,95.4,97.14,94.72,671614,64074289
SCOM,2018-02-07,95.11,94.37,95.41,94.09,34071,3215182
SCOM,2018-02-08,95.32,95.71,96.53,93.57,436650,41791248
SCOM,2018-02-09,97.27,96.61,97.65,96.53,490721,47408752
SCOM,2018-02-12,95.71,95.06,95.89,94.82,376824,35822363
SCOM,2018-02-13,96.02,96.81,97.07,95.36,222890,21577519
SCOM,2018-02-14,94.75,95.35,96.61,94.59,196717,18757280
SCOM,2018-02-15,95.22,94.98,95.23,93.24,200471,19040337
SCOM,2018-02-16,97.59,96.96,98.01,96.22,645605,62596317
